model,model_layer,effective_dimensionality
edge_texture,ReLU-5,442.8387883360032
vanishing_point,ReLU-4,431.07134333205636
segment_semantic,ReLU-25,352.87534962382614
class_scene,ReLU-43,338.59026431527064
egomotion,BatchNorm2d-15,311.020193576025
class_object,ReLU-46,289.6236993019626
jigsaw,MaxPool2d-1,275.4303593642438
reshading,ReLU-32,239.88444699654525
point_matching,ReLU-12,191.43603109246123
normal,ReLU-32,174.8250795578319
depth_zbuffer,ReLU-23,174.62856462279245
room_layout,ReLU-25,162.42658729432577
random_weights,Conv2d-4,144.3803533712134
edge_occlusion,Conv2d-28,132.69317382018758
depth_euclidean,ReLU-24,113.52122535639354
denoising,MaxPool2d-2,104.17768317093673
fixated_pose,ReLU-24,100.86500567341153
nonfixated_pose,ReLU-27,95.22933977152604
segment_unsup25d,ReLU-28,94.0149262169979
keypoints2d,ReLU-50,69.92488059457737
keypoints3d,ReLU-39,68.59620298902331
autoencoding,ReLU-11,49.55973280212934
curvature,BatchNorm2d-28,48.40950792849532
segment_unsup2d,ReLU-40,37.895960421113585
inpainting,ReLU-41,10.328805830713392
