measurement,image_type,splithalf_r,splithalf_lower,splithalf_upper,dataset
beauty,are,0.7805818465312406,0.6153023159392864,0.8747087127870673,vessel
beauty,ari,0.7947937045585995,0.6340076656884761,0.8791789350407213,vessel
beauty,art,0.7152900215646077,0.5444407733048673,0.8263958634618274,vessel
beauty,fac,0.9805258485532409,0.9663096763244634,0.9884130703388542,vessel
beauty,lsc,0.911915246168259,0.8677405280637833,0.9409018831781272,vessel
beauty,Combo,0.8624473238746,0.8139218302564903,0.8969288744738947,vessel
arousal,Object,0.9650196669138038,0.9423748049536623,0.9784570189663647,oasis
arousal,Person,0.9423966192374049,0.9038709357938983,0.9627233902173684,oasis
arousal,Animal,0.9160972475504137,0.8507674540280592,0.9520009222655459,oasis
arousal,Scene,0.956329525008418,0.9265799266987923,0.9730341913089222,oasis
arousal,Combo,0.9633486224087112,0.9453635471985573,0.9746383083356823,oasis
valence,Object,0.9905451465033648,0.9871099709388444,0.9932844010683531,oasis
valence,Person,0.9913236361794019,0.9881786163357673,0.9936269012497975,oasis
valence,Animal,0.9914349747767272,0.9872083594229778,0.9941508564949709,oasis
valence,Scene,0.99430980649445,0.9918046272358946,0.9958999767753942,oasis
valence,Combo,0.9920359853921096,0.9898642069340814,0.9936713192328,oasis
beauty,Object,0.9855465563747702,0.9768085144306609,0.9904709310141088,oasis
beauty,Person,0.9851837606994611,0.9764728458763889,0.9899723550206857,oasis
beauty,Animal,0.9867863413223764,0.9766004599107948,0.9920132191011657,oasis
beauty,Scene,0.9917824326175503,0.9873513357377901,0.9944173311896234,oasis
beauty,Combo,0.988856163400628,0.9840605663217008,0.9916455580056295,oasis
