subject,image_type,item_count,oracle_corr
1,are,108,0.2983914171754816
2,are,108,0.2706481880575965
3,are,108,0.3067312827070935
4,are,108,0.5843422322257135
5,are,108,0.4134275581126888
6,are,108,0.5002595974953933
7,are,108,0.2857579784978888
8,are,108,0.1416248901743464
9,are,108,0.3472431125824516
10,are,108,0.05741006950401815
11,are,108,0.5508624392384439
12,are,108,0.3517425075977377
13,are,108,0.47235865810926575
14,are,108,0.4626997518676537
15,are,108,0.3198304073470277
16,are,108,0.5930332886774698
17,are,108,0.31971847442854895
18,are,108,0.42044834060627817
19,are,108,-0.036491265243212244
1,ari,118,0.2830747445328499
2,ari,118,0.45817354447991127
3,ari,118,0.31067083202797946
4,ari,118,0.4315642076029624
5,ari,118,0.1480798485186149
6,ari,118,0.2991565175324531
7,ari,118,0.32720859912316846
8,ari,118,0.3780550795935899
9,ari,118,0.3122160417931211
10,ari,118,0.33243195906262213
11,ari,118,-0.004734787837600323
12,ari,118,0.5149922063949477
13,ari,118,0.5646976231591088
14,ari,118,0.36278970564064256
15,ari,118,0.6316662872546064
16,ari,118,0.4618372593438334
17,ari,118,0.44485656017531144
1,art,109,0.35011904184784554
2,art,109,0.49162553572537315
3,art,109,0.026114439219749565
4,art,109,0.34368882690663777
5,art,109,0.12347171505684913
6,art,109,0.22163945897505752
7,art,109,0.38260643102446584
8,art,109,0.26940542101268106
9,art,109,0.4660848534798201
10,art,109,-0.07730372020310931
11,art,109,0.3068496178410948
12,art,109,0.27076048021358934
13,art,109,0.45317803906010623
14,art,109,0.500481394892067
15,art,109,0.2105306202311116
16,art,109,0.2586901687814097
17,art,109,0.4020648651267561
18,art,109,0.06821729614881415
19,art,109,0.3927899942135023
20,art,109,0.19241910415272065
21,art,109,0.12902605408383472
22,art,109,-0.02432891149539538
23,art,109,0.4909108843244233
24,art,109,0.34907730665444353
1,fac,80,0.9475049561014843
2,fac,80,0.7246354749828247
3,fac,80,0.8338954019987812
4,fac,80,0.8841425572566848
5,fac,80,0.6276566054670983
6,fac,80,0.5977009756612656
7,fac,80,0.693623864435547
8,fac,80,0.911891217056253
9,fac,80,0.8836001753115293
10,fac,80,0.8926560219804813
11,fac,80,0.9104883663223189
12,fac,80,0.8648609255252235
13,fac,80,0.8623975920302114
14,fac,80,0.9384749982430516
15,fac,80,0.6306243532576669
16,fac,80,0.6047979271754728
17,fac,80,0.2916169013804341
18,fac,80,0.8716817734331148
19,fac,80,0.929876108767697
20,fac,80,0.9186303860666223
1,lsc,148,0.5314765726484447
2,lsc,148,0.2572890738227334
3,lsc,148,0.7294753329194341
4,lsc,148,0.4651267770406912
5,lsc,148,0.5682287160118021
6,lsc,148,0.7602042441678767
7,lsc,148,0.7166141171782804
8,lsc,148,0.6956226289589088
9,lsc,148,0.6437297036958164
10,lsc,148,0.46920554403792264
11,lsc,148,0.6986717941251872
12,lsc,148,0.5719008627844465
13,lsc,148,0.648927640299369
14,lsc,148,0.6128788671863041
15,lsc,148,0.5428725076801907
16,lsc,148,0.18890617428898465
17,lsc,148,0.6658843958304724
18,lsc,148,0.5946823348183363
1,Combo,563,0.5601687047399118
2,Combo,563,0.40986423888208295
3,Combo,563,0.43567057056903563
4,Combo,563,0.5812752900486757
5,Combo,563,0.22267173807557936
6,Combo,563,0.3990574670945575
7,Combo,563,0.4274655595294581
8,Combo,563,0.5232874510150297
9,Combo,563,0.5362395355220784
10,Combo,563,0.4103204022685792
11,Combo,563,0.5199602158269586
12,Combo,563,0.5077104675635068
13,Combo,563,0.5612994453148209
14,Combo,563,0.5880784843883284
15,Combo,563,0.4759274143220552
16,Combo,563,0.33628285356197224
17,Combo,563,0.33562282447244485
